Hip Yaw	Hip Pitch	Hip Roll	Knee Yaw	Knee Pitch	Knee Roll	Ankle Yaw	Ankle Pitch	Ankle Roll	Time Stamp

										68.2094	-165.7507	97.87586	7.975831	0.895626	-2.224484	3.93863	-155.6143	98.50236	-14.68119	
-10.6	72.1	-10.7	49.5	136.1	-33.8	8.6	-13.4	1.7		441.1699
-10.6	72.1	-10.7	49.5	136.1	-33.8	8.6	-13.4	1.7		441.1782
-7.7	72.2	-10.3	44.1	127.3	-34.5	5.9	-13.7	4.7		441.1865
-7.7	72.2	-10.3	44.1	127.3	-34.5	5.9	-13.7	4.7		441.1948
-7.4	71.9	-9.6	42.3	123.1	-35.1	3.6	-13.6	5.9		441.2031
-7.4	71.9	-9.6	42.3	123.1	-35.1	3.6	-13.6	5.9		441.2114
-1.5	70.1	-8.1	34.8	112.4	-32.8	1.6	-15.8	4.0		441.2197
-1.5	70.1	-8.1	34.8	112.4	-32.8	1.6	-15.8	4.0		441.228
0.6	69.5	-7.2	31.8	108.6	-30.7	0.6	-15.6	4.9		441.2363
0.6	69.5	-7.2	31.8	108.6	-30.7	0.6	-15.6	4.9		441.2446
6.8	67.0	-3.7	25.7	95.3	-28.0	-5.5	-16.7	5.4		441.2529
6.8	67.0	-3.7	25.7	95.3	-28.0	-5.5	-16.7	5.4		441.2612
10.9	64.3	-1.2	21.5	84.6	-26.7	-8.7	-18.7	4.0		441.2695
10.9	64.3	-1.2	21.5	84.6	-26.7	-8.7	-18.7	4.0		441.2778
14.5	60.3	1.0	19.1	76.5	-23.4	-13.8	-17.3	6.0		441.2861
14.5	60.3	1.0	19.1	76.5	-23.4	-13.8	-17.3	6.0		441.2944
17.0	56.0	3.9	15.9	67.0	-20.5	-14.5	-19.2	3.3		441.3027
17.0	56.0	3.9	15.9	67.0	-20.5	-14.5	-19.2	3.3		441.311
17.2	51.8	5.3	13.0	57.9	-17.3	-15.5	-17.9	4.5		441.3193
17.2	51.8	5.3	13.0	57.9	-17.3	-15.5	-17.9	4.5		441.3276
17.2	51.8	5.3	13.0	57.9	-17.3	-15.5	-17.9	4.5		441.3359
15.0	47.4	5.5	10.9	49.4	-13.8	-10.5	-20.1	2.5		441.3442
15.0	47.4	5.5	10.9	49.4	-13.8	-10.5	-20.1	2.5		441.3525
14.1	42.5	5.8	9.3	40.4	-10.1	-9.7	-18.7	4.3		441.3608
14.1	42.5	5.8	9.3	40.4	-10.1	-9.7	-18.7	4.3		441.3691
13.2	37.3	5.3	8.3	31.1	-7.4	-7.0	-20.1	3.0		441.3774
13.2	37.3	5.3	8.3	31.1	-7.4	-7.0	-20.1	3.0		441.3857
11.8	32.1	5.2	7.0	20.9	-5.1	-6.1	-20.1	2.6		441.394
11.8	32.1	5.2	7.0	20.9	-5.1	-6.1	-20.1	2.6		441.4023
13.1	23.5	4.4	4.9	6.7	-1.5	-7.6	-16.7	7.2		441.4106
13.1	23.5	4.4	4.9	6.7	-1.5	-7.6	-16.7	7.2		441.4189
13.4	17.7	3.7	4.2	-1.4	0.5	-5.3	-18.0	5.3		441.4272
13.4	17.7	3.7	4.2	-1.4	0.5	-5.3	-18.0	5.3		441.4355
13.2	11.7	3.8	2.4	-11.0	2.6	-8.2	-13.9	8.8		441.4438
13.2	11.7	3.8	2.4	-11.0	2.6	-8.2	-13.9	8.8		441.4521
11.3	6.3	3.2	1.1	-19.6	3.1	-6.4	-14.4	6.3		441.4604
11.3	6.3	3.2	1.1	-19.6	3.1	-6.4	-14.4	6.3		441.4687
11.3	6.3	3.2	1.1	-19.6	3.1	-6.4	-14.4	6.3		441.477
9.2	1.5	2.2	0.4	-27.9	3.4	-4.6	-15.0	3.6		441.4853
9.2	1.5	2.2	0.4	-27.9	3.4	-4.6	-15.0	3.6		441.4936
7.2	-2.7	0.9	-0.7	-35.9	3.1	-7.1	-9.5	11.0		441.5019
7.2	-2.7	0.9	-0.7	-35.9	3.1	-7.1	-9.5	11.0		441.5102
7.3	-6.3	0.3	-1.0	-42.6	3.9	-5.7	-12.9	6.1		441.5185
7.3	-6.3	0.3	-1.0	-42.6	3.9	-5.7	-12.9	6.1		441.5268
5.5	-9.5	-1.2	-1.2	-48.5	4.7	-5.7	-8.2	13.5		441.5351
5.5	-9.5	-1.2	-1.2	-48.5	4.7	-5.7	-8.2	13.5		441.5434
7.6	-13.5	0.6	0.0	-54.5	6.6	-8.1	-5.5	13.9		441.5517
7.6	-13.5	0.6	0.0	-54.5	6.6	-8.1	-5.5	13.9		441.56
8.2	-15.1	1.9	-0.1	-56.5	6.4	-6.4	-9.9	5.3		441.5683
8.2	-15.1	1.9	-0.1	-56.5	6.4	-6.4	-9.9	5.3		441.5766
8.8	-15.1	1.1	0.0	-56.5	5.6	-9.7	-4.0	13.6		441.5849
8.8	-15.1	1.1	0.0	-56.5	5.6	-9.7	-4.0	13.6		441.5932
6.7	-13.1	0.7	0.1	-54.2	3.5	-7.6	-4.4	13.9		441.6015
6.7	-13.1	0.7	0.1	-54.2	3.5	-7.6	-4.4	13.9		441.6098
6.7	-13.1	0.7	0.1	-54.2	3.5	-7.6	-4.4	13.9		441.6181
5.5	-10.6	-0.1	1.2	-51.1	4.4	-5.1	-5.4	15.2		441.6264
5.5	-10.6	-0.1	1.2	-51.1	4.4	-5.1	-5.4	15.2		441.6347
