Hip Yaw	Hip Pitch	Hip Roll	Knee Yaw	Knee Pitch	Knee Roll	Ankle Yaw	Ankle Pitch	Ankle Roll	Time Stamp
										50.0988	169.2496	-129.1609	8.419473	-0.6531941	-3.20155	6.475086	178.0482	76.48226	26.53065	
										52.9457	0	0	0	169.2495	-129.2441	8.074519	-0.7804561	-3.251556	6.62441	177.1969	76.32837	25.62904	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	0	0	0	0	
0	0	0	-1	0	0	0	0	0	
0	0	0	-1	0	0	0	0	0	
0	0	0	-1	0	0	0	0	0	
0	0	0	-1	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	1	0	0	0	
0	0	0	0	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	0	0	0	0	
0	0	0	-1	0	0	0	0	0	
0	0	0	-1	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	0	0	0	0	
0	0	0	-1	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	1	0	0	0	
0	0	0	0	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	-1	0	1	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	-1	0	0	0	0	1	
0	0	0	-1	0	0	0	0	1	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	1	0	0	0	
0	0	0	-1	0	0	0	0	1	
0	0	0	-1	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	
