Hip Yaw	Hip Pitch	Hip Roll	Knee Yaw	Knee Pitch	Knee Roll	Ankle Yaw	Ankle Pitch	Ankle Roll	Time Stamp
										3.3698	-75.10085	60.75157	-18.57285	-126.8937	-123.1075	36.67961	22.25907	122.2211	50.73154	
										10.6489	0.0	0.1	0.0	-75.13021	60.71984	-18.5043	-126.9309	-123.1402	36.68604	22.21752	122.3065	50.77225	
-0.1	0.0	0.1	-0.3	0.0	0.3	0.0	-0.1	0.0	
-0.1	0.0	0.1	-0.3	0.0	0.3	0.0	-0.1	0.0	
-0.2	-0.1	-0.1	-0.3	0.2	0.4	0.1	0.0	0.1	
-0.2	-0.1	-0.1	-0.3	0.2	0.4	0.1	0.0	0.1	
0.0	0.1	0.1	-0.2	0.1	0.2	-0.2	-0.1	-0.1	
0.0	0.1	0.1	-0.2	0.1	0.2	-0.2	-0.1	-0.1	
-0.2	0.1	0.1	-0.1	0.1	0.1	-0.3	-0.1	-0.1	
-0.2	0.1	0.1	-0.1	0.1	0.1	-0.3	-0.1	-0.1	
-0.1	0.0	0.0	-0.2	0.1	0.3	-0.1	-0.1	0.0	
-0.1	0.0	0.0	-0.2	0.1	0.3	-0.1	-0.1	0.0	
-0.1	0.0	0.0	-0.2	0.1	0.2	0.0	0.0	0.0	
-0.1	0.0	0.0	-0.2	0.1	0.2	0.0	0.0	0.0	
-0.1	0.0	0.0	0.1	0.0	-0.1	-0.1	-0.2	0.0	
-0.1	0.0	0.0	0.1	0.0	-0.1	-0.1	-0.2	0.0	
-0.1	0.0	0.0	-0.3	0.1	0.3	-0.1	-0.2	0.0	
-0.1	0.0	0.0	-0.3	0.1	0.3	-0.1	-0.2	0.0	
0.0	0.1	0.0	-0.1	0.0	0.1	-0.2	-0.1	0.0	
0.0	0.1	0.0	-0.1	0.0	0.1	-0.2	-0.1	0.0	
-0.1	0.1	0.0	-0.1	0.1	0.2	-0.2	-0.1	-0.1	
-0.1	0.1	0.0	-0.1	0.1	0.2	-0.2	-0.1	-0.1	
-0.1	0.1	0.0	-0.1	0.1	0.2	-0.2	-0.1	-0.1	
0.0	0.0	0.0	-0.1	0.1	0.2	-0.1	-0.1	0.0	
0.0	0.0	0.0	-0.1	0.1	0.2	-0.1	-0.1	0.0	
0.1	0.0	-0.1	-0.2	0.1	0.3	0.0	-0.1	0.0	
0.1	0.0	-0.1	-0.2	0.1	0.3	0.0	-0.1	0.0	
0.0	0.0	0.0	-0.2	0.0	0.1	-0.1	0.0	0.0	
0.0	0.0	0.0	-0.2	0.0	0.1	-0.1	0.0	0.0	
0.0	0.1	0.0	0.2	0.0	-0.1	-0.1	0.0	-0.1	
0.0	0.1	0.0	0.2	0.0	-0.1	-0.1	0.0	-0.1	
-0.1	0.0	0.0	0.0	0.1	0.0	-0.1	-0.1	0.0	
-0.1	0.0	0.0	0.0	0.1	0.0	-0.1	-0.1	0.0	
0.0	0.1	0.0	-0.2	0.1	0.2	-0.1	-0.1	-0.1	
0.0	0.1	0.0	-0.2	0.1	0.2	-0.1	-0.1	-0.1	
-0.1	0.0	0.0	-0.2	0.1	0.3	0.0	0.0	0.0	
-0.1	0.0	0.0	-0.2	0.1	0.3	0.0	0.0	0.0	
0.0	0.0	0.0	0.1	0.1	0.0	-0.1	-0.1	0.0	
0.0	0.0	0.0	0.1	0.1	0.0	-0.1	-0.1	0.0	
0.0	0.0	0.0	0.1	0.1	0.0	-0.1	-0.1	0.0	
0.0	0.0	0.0	-0.1	0.0	0.0	0.0	-0.1	0.0	
0.0	0.0	0.0	-0.1	0.0	0.0	0.0	-0.1	0.0	
-0.1	0.0	0.0	-0.2	0.1	0.3	-0.1	-0.1	0.0	
-0.1	0.0	0.0	-0.2	0.1	0.3	-0.1	-0.1	0.0	
-0.1	0.0	0.0	0.0	0.1	0.0	-0.1	0.0	0.0	
-0.1	0.0	0.0	0.0	0.1	0.0	-0.1	0.0	0.0	
0.0	0.0	0.0	-0.2	0.0	0.2	-0.1	-0.1	0.0	
0.0	0.0	0.0	-0.2	0.0	0.2	-0.1	-0.1	0.0	
0.0	0.0	-0.1	-0.1	0.1	0.2	-0.1	-0.2	0.0	
0.0	0.0	-0.1	-0.1	0.1	0.2	-0.1	-0.2	0.0	
0.0	-0.1	-0.1	-0.1	0.1	0.0	0.0	-0.1	0.0	
0.0	-0.1	-0.1	-0.1	0.1	0.0	0.0	-0.1	0.0	
0.0	0.0	0.0	-0.2	0.0	0.3	0.0	-0.1	0.0	
0.0	0.0	0.0	-0.2	0.0	0.3	0.0	-0.1	0.0	
-0.2	0.1	0.0	-0.3	0.1	0.3	-0.2	-0.1	-0.1	
-0.2	0.1	0.0	-0.3	0.1	0.3	-0.2	-0.1	-0.1	
-0.1	0.1	0.1	-0.3	0.1	0.3	-0.2	0.0	-0.1	
-0.1	0.1	0.1	-0.3	0.1	0.3	-0.2	0.0	-0.1	
