26.9335	21.1	19.1	-3.9		7.3	7.4	7.0		172.3	-8.2	-7.7																											
26.9418	21.1	19.1	-3.9		7.3	7.4	7.0		172.3	-8.2	-7.7																											
26.9501	21.1	19.1	-3.9		7.3	7.5	7.1		172.1	-8.3	-7.9																											
26.9584	21.1	19.1	-3.9		7.3	7.5	7.1		172.1	-8.3	-7.9																											
26.9667	21.1	19.1	-3.9		7.4	7.5	7.1		172.1	-8.3	-7.9																											
26.975	21.1	19.1	-3.9		7.4	7.5	7.1		172.1	-8.3	-7.9																											
26.9833	21.1	19.0	-3.9		7.4	7.5	7.1		172.1	-8.3	-7.9																											
26.9916	21.1	19.0	-3.9		7.4	7.5	7.1		172.1	-8.3	-7.9																											
26.9999	21.1	19.2	-3.9		7.3	7.4	7.0		172.1	-8.2	-7.9																											
27.0082	21.1	19.2	-3.9		7.3	7.4	7.0		172.1	-8.2	-7.9																											
27.0165	21.1	19.1	-4.0		7.4	7.6	7.1		172.3	-8.1	-7.7																											
27.0248	21.1	19.1	-4.0		7.4	7.6	7.1		172.3	-8.1	-7.7																											
27.0331	21.1	19.2	-3.9		7.3	7.7	7.1		172.4	-7.9	-7.6																											
27.0414	21.1	19.2	-3.9		7.3	7.7	7.1		172.4	-7.9	-7.6																											
27.0497	21.1	19.2	-4.0		7.3	7.6	7.1		172.7	-7.8	-7.3																											
27.058	21.1	19.2	-4.0		7.3	7.6	7.1		172.7	-7.8	-7.3																											
27.0663	21.1	19.2	-4.0		7.3	7.7	7.0		172.3	-8.0	-7.7																											
27.0746	21.1	19.2	-4.0		7.3	7.7	7.0		172.3	-8.0	-7.7																											
27.0829	21.1	19.1	-3.9		7.3	7.7	7.1		172.6	-7.8	-7.4																											
27.0912	21.1	19.1	-3.9		7.3	7.7	7.1		172.6	-7.8	-7.4																											
27.0995	21.1	19.3	-4.0		7.3	7.6	7.1		172.5	-7.9	-7.5																											
27.1078	21.1	19.3	-4.0		7.3	7.6	7.1		172.5	-7.9	-7.5																											
27.1161	21.1	18.9	-4.0		7.3	7.7	7.1		172.4	-7.9	-7.6																											
27.1244	21.1	18.9	-4.0		7.3	7.7	7.1		172.4	-7.9	-7.6																											
