Time Stamp	Hip Pitch	Hip Roll	Hip Yaw	Knee Pitch	Knee Roll	Knee Yaw	Ankle Pitch	Ankle Roll	Ankle Yaw	Hjoint X	Hjoint Y	Hjoint Z	Kjoint X	Kjoint Y	Kjoint Z	Ajoint X	Ajoint Y	Ajoint Z	Ankle Path x	Ankle Path y	Ankle Path y	Hip OffPitch	Hip OffRoll	Hip OffYaw	Knee OffPitch	Knee OffRoll	Knee OffYaw	Ankle OffPitch	Ankle OffRoll	Ankle OffYaw	
303.2488	-0.701	-1.908	-0.526	0.662	5.638	3.011	-0.874	3.473	-1.635	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.013	0.001	-0.007	10.982	-4.895	89.457	-5.588	27.873	89.124	0.000	-28.264	72.806	
303.2571	-0.689	-1.935	-0.572	0.660	5.645	3.018	-0.885	3.377	-1.696	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.012	0.001	-0.007										
303.2654	-0.689	-1.935	-0.572	0.660	5.645	3.018	-0.885	3.377	-1.696	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.012	0.001	-0.007										
303.2737	-0.729	-1.881	-0.733	0.707	5.663	3.109	-0.934	3.453	-1.526	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.012	0.001	-0.007										
303.282	-0.729	-1.881	-0.733	0.707	5.663	3.109	-0.934	3.453	-1.526	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.012	0.001	-0.007										
303.2903	-0.739	-1.894	-0.764	0.674	5.728	3.030	-0.983	3.404	-1.345	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.011	0.001	-0.008										
303.2986	-0.739	-1.894	-0.764	0.674	5.728	3.030	-0.983	3.404	-1.345	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.011	0.001	-0.008										
303.3069	-0.726	-1.949	-0.768	0.694	5.628	3.045	-0.966	3.493	-1.437	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.011	0.001	-0.008										
303.3152	-0.726	-1.949	-0.768	0.694	5.628	3.045	-0.966	3.493	-1.437	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.011	0.001	-0.008										
303.3235	-0.743	-1.862	-0.773	0.630	6.061	2.956	-0.965	3.033	-1.311	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.011	0.000	-0.007										
303.3318	-0.743	-1.862	-0.773	0.630	6.061	2.956	-0.965	3.033	-1.311	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.011	0.000	-0.007										
303.3401	-0.739	-1.855	-0.686	0.719	5.575	3.116	-0.970	3.498	-1.452	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.012	0.001	-0.007										
303.3484	-0.739	-1.855	-0.686	0.719	5.575	3.116	-0.970	3.498	-1.452	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.012	0.001	-0.007										
303.3567	-0.715	-1.843	-0.545	0.814	5.275	3.296	-0.920	3.909	-1.718	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.014	0.001	-0.007										
303.365	-0.715	-1.843	-0.545	0.814	5.275	3.296	-0.920	3.909	-1.718	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.014	0.001	-0.007										
303.3733	-0.725	-1.859	-0.446	0.801	5.388	3.261	-0.912	3.705	-1.834	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.3816	-0.725	-1.859	-0.446	0.801	5.388	3.261	-0.912	3.705	-1.834	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.3899	-0.737	-1.782	-0.410	0.794	5.400	3.247	-0.901	3.793	-1.655	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.3982	-0.737	-1.782	-0.410	0.794	5.400	3.247	-0.901	3.793	-1.655	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.4065	-0.735	-1.821	-0.449	0.760	5.621	3.197	-0.910	3.502	-1.621	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.4148	-0.735	-1.821	-0.449	0.760	5.621	3.197	-0.910	3.502	-1.621	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.4231	-0.752	-1.754	-0.457	0.684	5.782	3.054	-0.921	3.318	-1.486	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.4314	-0.752	-1.754	-0.457	0.684	5.782	3.054	-0.921	3.318	-1.486	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.4397	-0.762	-1.774	-0.495	0.839	5.403	3.355	-0.878	3.694	-1.852	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.448	-0.762	-1.774	-0.495	0.839	5.403	3.355	-0.878	3.694	-1.852	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.015	0.001	-0.007										
303.4563	-0.782	-1.659	-0.491	0.846	5.248	3.390	-0.912	3.788	-1.903	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.016	0.001	-0.008										
303.4646	-0.782	-1.659	-0.491	0.846	5.248	3.390	-0.912	3.788	-1.903	0.212	1.011	-0.374	0.212	1.011	-0.374	0.212	1.011	-0.374	0.016	0.001	-0.008										
303.4729	-0.766	-1.672	-0.264	0.853	5.157	3.362	-0.896	3.932	-1.978	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.4812	-0.766	-1.672	-0.264	0.853	5.157	3.362	-0.896	3.932	-1.978	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.4895	-0.756	-1.644	-0.237	0.733	5.650	3.177	-0.889	3.458	-1.685	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.4978	-0.756	-1.644	-0.237	0.733	5.650	3.177	-0.889	3.458	-1.685	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.5061	-0.760	-1.630	-0.203	0.771	5.392	3.245	-0.897	3.651	-1.832	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.5144	-0.760	-1.630	-0.203	0.771	5.392	3.245	-0.897	3.651	-1.832	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.5227	-0.760	-1.558	-0.177	0.753	5.464	3.212	-0.906	3.625	-1.718	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.531	-0.760	-1.558	-0.177	0.753	5.464	3.212	-0.906	3.625	-1.718	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.5393	-0.759	-1.574	-0.174	0.752	5.454	3.202	-0.871	3.584	-1.874	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.5476	-0.759	-1.574	-0.174	0.752	5.454	3.202	-0.871	3.584	-1.874	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.5559	-0.794	-1.520	-0.245	0.650	5.776	3.046	-0.911	3.241	-1.583	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.5642	-0.794	-1.520	-0.245	0.650	5.776	3.046	-0.911	3.241	-1.583	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.018	0.001	-0.007										
303.5725	-0.805	-1.560	-0.378	0.504	6.495	2.821	-0.952	2.491	-1.189	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.017	0.000	-0.007										
303.5808	-0.805	-1.560	-0.378	0.504	6.495	2.821	-0.952	2.491	-1.189	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.017	0.000	-0.007										
303.5891	-0.804	-1.525	-0.279	0.487	6.649	2.808	-0.941	2.357	-1.260	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.017	0.000	-0.007										
303.5974	-0.804	-1.525	-0.279	0.487	6.649	2.808	-0.941	2.357	-1.260	0.213	1.011	-0.374	0.213	1.011	-0.374	0.213	1.011	-0.374	0.017	0.000	-0.007										
