Time Stamp	Hip Pitch	Hip Roll	Hip Yaw	Knee Pitch	Knee Roll	Knee Yaw	Ankle Pitch	Ankle Roll	Ankle Yaw	Hjoint X	Hjoint Y	Hjoint Z	Kjoint X	Kjoint Y	Kjoint Z	Ajoint X	Ajoint Y	Ajoint Z	Ankle Path x	Ankle Path y	Ankle Path y	Hip OffPitch	Hip OffRoll	Hip OffYaw	Knee OffPitch	Knee OffRoll	Knee OffYaw	Ankle OffPitch	Ankle OffRoll	Ankle OffYaw	
435.0279	12.796	-1.745	0.974	-80.445	9.062	-2.222	-14.256	-2.819	-6.965	0.367	0.966	-0.016	0.367	0.966	-0.016	0.367	0.966	-0.016	0.011	0.217	-0.388	-3.131	-0.540	-1.236	0.190	-1.042	1.137	2.756	0.255	1.363	
435.0362	15.064	-3.125	1.199	-81.900	9.052	-3.672	-12.080	-2.962	-5.939	0.366	0.968	-0.017	0.366	0.968	-0.017	0.366	0.968	-0.017	0.009	0.213	-0.368										
435.0445	15.064	-3.125	1.199	-81.900	9.052	-3.672	-12.080	-2.962	-5.939	0.366	0.968	-0.017	0.366	0.968	-0.017	0.366	0.968	-0.017	0.009	0.213	-0.368										
435.0528	17.397	-4.456	1.071	-82.652	8.691	-5.467	-9.955	-2.814	-5.750	0.366	0.970	-0.019	0.366	0.970	-0.019	0.366	0.970	-0.019	0.003	0.209	-0.342										
435.0611	17.397	-4.456	1.071	-82.652	8.691	-5.467	-9.955	-2.814	-5.750	0.366	0.970	-0.019	0.366	0.970	-0.019	0.366	0.970	-0.019	0.003	0.209	-0.342										
435.0694	19.718	-5.390	1.176	-82.680	8.508	-6.757	-7.696	-2.502	-4.645	0.365	0.971	-0.021	0.365	0.971	-0.021	0.365	0.971	-0.021	0.002	0.202	-0.315										
435.0777	19.718	-5.390	1.176	-82.680	8.508	-6.757	-7.696	-2.502	-4.645	0.365	0.971	-0.021	0.365	0.971	-0.021	0.365	0.971	-0.021	0.002	0.202	-0.315										
435.086	21.859	-6.589	0.958	-81.988	9.421	-8.129	-5.720	-3.286	-4.291	0.365	0.972	-0.023	0.365	0.972	-0.023	0.365	0.972	-0.023	0.000	0.191	-0.286										
435.0943	21.859	-6.589	0.958	-81.988	9.421	-8.129	-5.720	-3.286	-4.291	0.365	0.972	-0.023	0.365	0.972	-0.023	0.365	0.972	-0.023	0.000	0.191	-0.286										
435.1026	24.022	-7.279	1.156	-80.612	8.942	-9.658	-4.072	-3.378	-3.359	0.365	0.972	-0.025	0.365	0.972	-0.025	0.365	0.972	-0.025	-0.006	0.179	-0.254										
435.1109	24.022	-7.279	1.156	-80.612	8.942	-9.658	-4.072	-3.378	-3.359	0.365	0.972	-0.025	0.365	0.972	-0.025	0.365	0.972	-0.025	-0.006	0.179	-0.254										
435.1192	25.786	-8.751	1.350	-78.537	7.775	-11.687	-2.067	-1.782	-2.037	0.364	0.972	-0.027	0.364	0.972	-0.027	0.364	0.972	-0.027	-0.007	0.166	-0.225										
435.1275	25.786	-8.751	1.350	-78.537	7.775	-11.687	-2.067	-1.782	-2.037	0.364	0.972	-0.027	0.364	0.972	-0.027	0.364	0.972	-0.027	-0.007	0.166	-0.225										
